행정구,고등학교유형,학교명,일반학급_학급수,일반학급_학생수_계,특수학급_학급수,특수학급_학생수_계,1학년_학급수,2학년_학급수,3학년_학급수,학생수_총계_계,학급당학생수,교원수_총계_계,교원1인당 학생수,위도,경도,주소
김제시,특성화고등학교,지평선고등학교,6,73,0,0,2,2,2,73,12.2,18,4.1,35.8263487,126.8311097,전북특별자치도 김제시 성덕면 성동길 183-4
김제시,일반고등학교,김제고등학교,7,139,0,0,3,2,2,139,19.9,22,6.3,35.792049,126.895976,전북특별자치도 김제시 남북2 25
김제시,일반고등학교,김제여자고등학교,15,299,2,11,7,5,5,310,18.2,40,7.8,35.7991742,126.8940625,전북특별자치도 김제시 중앙로 193
남원시,일반고등학교,남원고등학교,18,350,1,1,7,6,6,351,18.5,47,7.5,35.4243418,127.3854191,전북특별자치도 남원시 만인로 43
남원시,일반고등학교,남원여자고등학교,18,340,0,0,6,6,6,340,18.9,45,7.6,35.4116705,127.3710448,전북특별자치도 남원시 광천북길 229-11
남원시,일반고등학교,인월고등학교,3,53,1,2,1,1,2,55,13.8,12,4.6,35.46495,127.602198,전북특별자치도 남원시 인월면 인월장터로 48
정읍시,일반고등학교,정읍여자고등학교,18,351,1,6,7,6,6,357,18.8,48,7.4,35.5621677,126.8672507,전북특별자치도 정읍시 충정로 56-11
정읍시,일반고등학교,정읍고등학교,12,249,1,3,5,4,4,252,19.4,35,7.2,35.5337622,126.8529147,전북특별자치도 정읍시 정읍사로 594
김제시,일반고등학교,김제서고등학교,3,55,0,0,1,1,1,55,18.3,10,5.5,35.7715771,126.815966,전북특별자치도 김제시 죽산면 해학로 17
남원시,일반고등학교,남원서진여자고등학교,15,278,0,0,5,5,5,278,18.5,34,8.2,35.4194297,127.399305,전북특별자치도 남원시 낙현길 17-14
김제시,일반고등학교,동국대학교사범대학부속금산고등학교,3,57,0,0,1,1,1,57,19.0,9,6.3,35.717864,126.999033,전북특별자치도 김제시 금산면 모악로 47 중
김제시,일반고등학교,덕암고등학교,21,412,0,0,7,7,7,412,19.6,45,9.2,35.903599,126.9091506,전북특별자치도 김제시 하공로 9
김제시,일반고등학교,만경고등학교,6,95,0,0,2,2,2,95,15.8,17,5.6,35.8500686,126.819891,전북특별자치도 김제시 만경읍 능제로 29
남원시,일반고등학교,남원국악예술고등학교,15,259,0,0,5,5,5,259,17.3,34,7.6,35.4140191,127.3933204,전북특별자치도 남원시 용성로 323
남원시,일반고등학교,성원고등학교,15,284,0,0,5,5,5,284,18.9,35,8.1,35.4147851,127.3708967,전북특별자치도 남원시 대복사길 41
김제시,일반고등학교,만경여자고등학교,3,46,0,0,1,1,1,46,15.3,13,3.5,35.860758,126.818343,전북특별자치도 김제시 만경읍 만경로 823
정읍시,일반고등학교,배영고등학교,15,308,0,0,5,5,5,308,20.5,33,9.3,35.6306128,126.819675,전북특별자치도 정읍시 동학로 243
정읍시,일반고등학교,신태인고등학교,6,94,0,0,2,2,2,94,15.7,18,5.2,35.6919969,126.8904128,전북특별자치도 정읍시 신태인읍 서태길 108
정읍시,일반고등학교,왕신여자고등학교,3,17,0,0,1,1,1,17,5.7,11,1.5,35.6860716,126.8862237,전북특별자치도 정읍시 신태인읍 정신로 1094
정읍시,일반고등학교,인상고등학교,6,103,0,0,2,2,2,103,17.2,17,6.1,35.7205944,126.837893,전북특별자치도 정읍시 신태인읍 벽골제로 34
정읍시,일반고등학교,정주고등학교,18,353,0,0,6,6,6,353,19.6,39,9.1,35.543972,126.890258,전북특별자치도 정읍시 정주1 42
군산시,일반고등학교,군산중앙고등학교,24,595,0,0,8,8,8,595,24.8,53,11.2,36.001857,126.785475,전북특별자치도 군산시 성산면 군장대길 13
정읍시,일반고등학교,서영여자고등학교,18,357,0,0,6,6,6,357,19.8,38,9.4,35.579904,126.852433,전북특별자치도 정읍시 명덕1 66-10
김제시,특수목적고등학교,김제농생명마이스터고등학교,15,259,2,9,5,6,6,268,15.8,53,5.1,35.79438,126.890082,전북특별자치도 김제시 남북9 23
남원시,특성화고등학교,남원용성고등학교,12,177,2,11,5,5,4,188,13.4,37,5.1,35.4190414,127.3937204,전북특별자치도 남원시 농고길 41
남원시,특수목적고등학교,한국경마축산고등학교,6,99,0,0,2,2,2,99,16.5,19,5.2,35.4441178,127.5384371,전북특별자치도 남원시 운봉읍 황산로 952
정읍시,특성화고등학교,정읍제일고등학교,9,101,2,14,3,4,4,115,10.5,30,3.8,35.5621677,126.8672507,전북특별자치도 정읍시 충정로 252
정읍시,특성화고등학교,칠보고등학교,3,16,0,0,1,1,1,16,5.3,10,1.6,35.6060393,126.9921525,전북특별자치도 정읍시 칠보면 건흥길 26-5
김제시,특성화고등학교,덕암정보고등학교,24,458,0,0,8,8,8,458,19.1,52,8.8,35.903599,126.9091506,전북특별자치도 김제시 하공로 9
남원시,특성화고등학교,남원제일고등학교,12,181,0,0,4,4,4,181,15.1,30,6.0,35.3361104,127.319208,전북특별자치도 남원시 노송로 1206
정읍시,특성화고등학교,글로벌학산고등학교,15,257,1,4,5,5,6,261,16.3,34,7.7,35.561473,126.8716325,전북특별자치도 정읍시 학산로 89
