학교명,학생수_총계_계,개설과목수,과목_다양성_지표
김제고등학교,139,82.0,0.5899280575539568
남원고등학교,351,87.0,0.24786324786324787
인월고등학교,55,104.0,1.8909090909090909
정읍고등학교,252,72.0,0.2857142857142857
김제서고등학교,55,64.0,1.1636363636363636
동국대학교사범대학부속금산고등학교,57,93.0,1.631578947368421
덕암고등학교,412,86.0,0.2087378640776699
만경고등학교,95,70.0,0.7368421052631579
성원고등학교,284,76.0,0.2676056338028169
배영고등학교,308,74.0,0.24025974025974026
신태인고등학교,94,70.0,0.7446808510638298
인상고등학교,103,69.0,0.6699029126213593
정주고등학교,353,86.0,0.24362606232294617
군산중앙고등학교,595,101.0,0.16974789915966387
