과목 구분,과목명,1학년,2학년,3학년,학교명
공통,공통국어1,1,0,0,글로벌학산고
공통,공통국어2,1,0,0,글로벌학산고
일반,화법과 언어,0,1,0,글로벌학산고
진로,직무 의사소통,0,1,0,글로벌학산고
공통,공통수학1,1,0,0,글로벌학산고
공통,공통수학2,1,0,0,글로벌학산고
일반,대수,0,1,0,글로벌학산고
진로,직무 수학,0,1,0,글로벌학산고
공통,공통영어1,1,0,0,글로벌학산고
공통,공통영어2,1,0,0,글로벌학산고
일반,영어Ⅰ,0,1,0,글로벌학산고
융합,실생활 영어 회화,0,1,0,글로벌학산고
진로,직무 영어,0,0,1,글로벌학산고
공통,통합사회1,1,0,0,글로벌학산고
공통,통합사회2,1,0,0,글로벌학산고
공통,한국사1,1,0,0,글로벌학산고
공통,한국사2,1,0,0,글로벌학산고
공통,통합과학1,1,0,0,글로벌학산고
공통,통합과학2,1,0,0,글로벌학산고
공통,체육1,1,0,0,글로벌학산고
공통,체육2,1,0,0,글로벌학산고
진로,운동과 건강,0,1,0,글로벌학산고
융합,스포츠 생활2,0,1,0,글로벌학산고
진로,스포츠 과학,0,0,1,글로벌학산고
진로,스포츠 문화,0,0,1,글로벌학산고
진로,미술 창작,0,1,0,글로벌학산고
진로,미술사,0,1,0,글로벌학산고
일반,음악,0,1,0,글로벌학산고
진로,음악 감상과 비평,0,1,0,글로벌학산고
일반,정보,1,0,0,글로벌학산고
진로,인공지능 기초,0,1,0,글로벌학산고
일반,중국어,0,1,0,글로벌학산고
글로벌미디어콘텐츠과,컴퓨터그래픽,0,0,1,글로벌학산고
,일러스트레이션,0,0,1,글로벌학산고
공통,공통국어1,1,0,0,김제농생명마이스터고
공통,공통국어2,1,0,0,김제농생명마이스터고
공통,공통수학1,1,0,0,김제농생명마이스터고
공통,공통수학2,1,0,0,김제농생명마이스터고
공통,공통영어1,1,0,0,김제농생명마이스터고
공통,공통영어2,1,0,0,김제농생명마이스터고
진로,직무영어,0,1,0,김제농생명마이스터고
융합,실생활 영어 회화,0,1,0,김제농생명마이스터고
공통,한국사1,1,0,0,김제농생명마이스터고
공통,한국사2,1,0,0,김제농생명마이스터고
공통,통합사회1,0,1,0,김제농생명마이스터고
공통,통합사회2,0,1,0,김제농생명마이스터고
공통,통합과학1,1,0,0,김제농생명마이스터고
공통,통합과학2,1,0,0,김제농생명마이스터고
일반,체육1,1,0,0,김제농생명마이스터고
일반,체육2,1,0,0,김제농생명마이스터고
융합,스포츠 생활1,0,1,0,김제농생명마이스터고
융합,스포츠 생활2,0,1,0,김제농생명마이스터고
일반,음악,0,1,0,김제농생명마이스터고
진로,미술 창착,0,1,0,김제농생명마이스터고
일반,정보,0,1,0,김제농생명마이스터고
일반,일본어,0,1,0,김제농생명마이스터고
공통,공통국어1,1,0,0,남원용성고
공통,공통국어2,1,0,0,남원용성고
공통,공통수학1,1,0,0,남원용성고
공통,공통수학2,1,0,0,남원용성고
공통,공통영어1,0,1,0,남원용성고
공통,공통영어2,0,1,0,남원용성고
공통,한국사1,0,1,0,남원용성고
공통,한국사2,0,1,0,남원용성고
공통,통합사회1,1,0,0,남원용성고
공통,통합사회2,1,0,0,남원용성고
공통,통합과학1,1,0,0,남원용성고
공통,통합과학2,1,0,0,남원용성고
일반,물리학,0,1,0,남원용성고
일반,체육1,1,0,0,남원용성고
일반,체육2,1,0,0,남원용성고
진로,운동과 건강,0,1,0,남원용성고
진로,스포츠 문화,0,1,0,남원용성고
일반,음악,1,0,0,남원용성고
진로,음악 연주와 창작,0,1,0,남원용성고
일반,미술,1,0,0,남원용성고
진로,미술 창작,0,1,0,남원용성고
진로(전문),농업 기초 기술,1,0,0,남원용성고
진로(전문),농업 이해,1,0,0,남원용성고
일반(전문),성공적인 직업 생활,0,0,1,남원용성고
일반(전문),디지털과 직업 생활,0,0,1,남원용성고
공통,공통국어1,1,0,0,덕암정보고
공통,공통국어2,1,0,0,덕암정보고
공통,기본수학1,0,1,0,덕암정보고
공통,기본수학2,0,1,0,덕암정보고
공통,공통영어1,1,0,0,덕암정보고
공통,공통영어2,1,0,0,덕암정보고
융합,실생활 영어 회화,0,1,0,덕암정보고
융합,미디어 영어,0,1,0,덕암정보고
공통,한국사1,0,1,0,덕암정보고
공통,한국사2,0,1,0,덕암정보고
공통,통합사회1,1,0,0,덕암정보고
공통,통합사회2,1,0,0,덕암정보고
공통,통합과학1,1,0,0,덕암정보고
공통,통합과학2,1,0,0,덕암정보고
일반,체육1,1,0,0,덕암정보고
일반,체육2,1,0,0,덕암정보고
진로,운동과 건강,0,1,0,덕암정보고
진로,스포츠 문화,0,1,0,덕암정보고
일반,음악,1,0,0,덕암정보고
진로,음악 연주와 창작,1,0,0,덕암정보고
진로,미술 창작,1,0,0,덕암정보고
진로,미술 감상과 비평,1,0,0,덕암정보고
일반,기술·가정,0,1,0,덕암정보고
일반,정보 ,0,1,0,덕암정보고
일반,한문,1,0,0,덕암정보고
일반,중국어,1,0,0,덕암정보고
공통,성공적인 직업 생활,0,0,1,덕암정보고
공통,디지털과 직업 생활,0,0,1,덕암정보고
공통 과목,공통국어1,1,0,0,남원예고
공통 과목,공통국어2,1,0,0,남원예고
일반 선택,화법과 언어,0,1,0,남원예고
일반 선택,독서와 작문,0,0,1,남원예고
일반 선택,문학,0,1,0,남원예고
융합 선택,독서 토론과 글쓰기,0,0,1,남원예고
공통 과목,공통수학1,1,0,0,남원예고
공통 과목,공통수학2,1,0,0,남원예고
일반 선택,대수,0,1,0,남원예고
일반 선택,미적분Ⅰ,0,1,0,남원예고
공통 과목,공통영어1,1,0,0,남원예고
공통 과목,공통영어2,1,0,0,남원예고
일반 선택,영어Ⅰ,0,1,0,남원예고
일반 선택,영어Ⅱ,0,1,0,남원예고
일반 선택,영어 독해와 작문,0,0,1,남원예고
융합 선택,실생활 영어 회화,0,0,1,남원예고
일반 선택,체육1,0,1,0,남원예고
일반 선택,체육2,0,1,0,남원예고
진로 선택,스포츠 문화,1,0,0,남원예고
진로 선택,스포츠 과학,1,0,0,남원예고
융합 선택,스포츠 생활1,0,0,1,남원예고
융합 선택,스포츠 생활2,0,0,1,남원예고
일반 선택,정보,0,0,1,남원예고
진로 선택,인공지능 기초,0,0,1,남원예고
일반 선택,한문,0,1,0,남원예고
융합 선택,언어생활과 한자,0,1,0,남원예고
공통 과목,한국사1,1,0,0,남원예고
공통 과목,한국사2,1,0,0,남원예고
공통 과목,통합사회1,1,0,0,남원예고
공통 과목,통합사회2,1,0,0,남원예고
일반 선택,사회와 문화,0,1,0,남원예고
융합 선택,사회문제 탐구,0,1,0,남원예고
진로 선택,삶과 종교,1,0,0,남원예고
진로 선택,종교와 생활(고시외-광주),1,0,0,남원예고
공통 과목,통합과학1,1,0,0,남원예고
공통 과목,통합과학2,1,0,0,남원예고
공통 과목,과학탐구실험1,1,0,0,남원예고
공통 과목,과학탐구실험2,1,0,0,남원예고
일반 선택,생명과학,0,0,1,남원예고
융합 선택,기후변화와 환경생태,0,0,1,남원예고
구분,과목명,1,1,1,정읍제일고
공통,공통국어1,1,0,0,정읍제일고
공통,공통국어2,1,0,0,정읍제일고
진로,직무 의사소통,0,1,0,정읍제일고
공통,공통수학1,1,0,0,정읍제일고
공통,공통수학2,1,0,0,정읍제일고
진로,직무 수학,0,1,0,정읍제일고
공통,공통영어1,1,0,0,정읍제일고
공통,공통영어2,1,0,0,정읍제일고
융합,실생활 영어 회화,0,0,1,정읍제일고
공통,한국사1,1,0,0,정읍제일고
공통,한국사2,1,0,0,정읍제일고
공통,통합사회1,0,1,0,정읍제일고
공통,통합사회2,0,1,0,정읍제일고
공통,통합과학1,1,0,0,정읍제일고
공통,통합과학2,1,0,0,정읍제일고
일반,생명과학,0,1,0,정읍제일고
진로,생물의 유전,0,1,0,정읍제일고
일반,체육1,1,0,0,정읍제일고
일반,체육2,1,0,0,정읍제일고
진로,운동과 건강,0,1,0,정읍제일고
융합,스포츠 생활1,0,1,0,정읍제일고
일반,음악,1,0,0,정읍제일고
진로,음악 감상과 비평,1,0,0,정읍제일고
일반,미술,0,1,0,정읍제일고
진로,미술 감상과 비평,0,1,0,정읍제일고
일반,정보,0,1,0,정읍제일고
진로(전문),정보처리와 관리,0,1,0,정읍제일고
일반,진로와 직업,0,0,1,정읍제일고
진로,인간과 심리,0,0,1,정읍제일고
공통,공통국어2,1,0,0,지평선고
공통,공통수학1,1,0,0,지평선고
공통,공통수학2,1,0,0,지평선고
공통,공통영어1,1,0,0,지평선고
공통,공통영어2,1,0,0,지평선고
공통,한국사1,1,0,0,지평선고
공통,한국사2,1,0,0,지평선고
공통,통합사회1,1,0,0,지평선고
공통,통합사회2,1,0,0,지평선고
공통,통합과학1,1,0,0,지평선고
공통,통합과학2,1,0,0,지평선고
진로,스포츠 문화,1,0,0,지평선고
진로,스포츠 과학,1,0,0,지평선고
일반(고시외),마음공부1,1,0,0,지평선고
일반,진로와 직업,1,0,0,지평선고
전문(고시외),후마니타스: 인간의 가치 탐색,1,0,0,지평선고
전문(고시외),삶과 철학,1,0,0,지평선고
전문(고시외),낭독1,1,0,0,지평선고
전문(고시외),낭독2,1,0,0,지평선고
전문(고시외),통합 기행,1,0,0,지평선고
전문(고시외),생태농업,1,0,0,지평선고
전문,미술과 매체,1,0,0,지평선고
전문,음악과 미디어,1,0,0,지평선고
공통,공통국어1,1,0,0,칠보고
공통,공통국어2,1,0,0,칠보고
일반,문학,0,0,0,칠보고
진로,직무 의사소통,0,1,0,칠보고
공통,공통수학1,1,0,0,칠보고
공통,공통수학2,1,0,0,칠보고
공통,공통영어1,1,0,0,칠보고
공통,공통영어2,1,0,0,칠보고
진로,직무 영어,0,1,0,칠보고
융합,미디어 영어,0,0,1,칠보고
공통,한국사1,0,1,0,칠보고
공통,한국사2,0,1,0,칠보고
공통,통합사회1,1,0,0,칠보고
공통,통합사회2,1,0,0,칠보고
공통,통합과학1,1,0,0,칠보고
공통,통합과학2,1,0,0,칠보고
일반,체육1,1,0,0,칠보고
일반,체육2,1,0,0,칠보고
진로,운동과 건강,0,1,0,칠보고
진로,스포츠 문화,0,1,0,칠보고
진로,스포츠 과학,0,0,1,칠보고
일반,음악,0,1,0,칠보고
일반,미술,0,1,0,칠보고
진로,스포츠 개론,0,1,0,칠보고
일반,물리학,0,0,0,칠보고
진로,기초 체육 전공 실기,0,1,0,칠보고
진로,영어 Ⅰ,0,0,0,칠보고
일반(전문),성공적인 직업 생활,0,1,0,칠보고
일반,정보,0,1,0,칠보고
공통,공통국어1,1,0,0,한국경마축산고
공통,공통국어2,1,0,0,한국경마축산고
진로,직무의사소통,0,1,0,한국경마축산고
공통,공통수학1,1,0,0,한국경마축산고
공통,공통수학2,1,0,0,한국경마축산고
진로,인공지능수학,0,1,0,한국경마축산고
공통,영어1,1,0,0,한국경마축산고
공통,영어2,1,0,0,한국경마축산고
융합,실생활영어회화,0,1,0,한국경마축산고
진로,직무영어,0,1,0,한국경마축산고
공통,한국사1,1,0,0,한국경마축산고
공통,한국사2,1,0,0,한국경마축산고
공통,통합사회1,0,1,0,한국경마축산고
공통,통합사회2,0,1,0,한국경마축산고
공통,통합과학1,0,1,0,한국경마축산고
공통,통합과학2,0,1,0,한국경마축산고
일반,체육1,1,0,0,한국경마축산고
일반,체육2,1,0,0,한국경마축산고
진로,운동과 건강,0,1,0,한국경마축산고
융합,스포츠 생활1,0,1,0,한국경마축산고
진로,스포츠 문화,0,0,1,한국경마축산고
융합,스포츠 생활2,0,0,1,한국경마축산고
일반,음악,1,0,0,한국경마축산고
진로,음악 감상과 비평,1,0,0,한국경마축산고
일반,진로와 직업,0,1,0,한국경마축산고
진로,논리와 사고,0,1,0,한국경마축산고
일반,일본어,0,1,0,한국경마축산고
진로,일본어 회화,0,1,0,한국경마축산고
